# Figura 3: Modelo Bifásico de Degradação
# t(dias),Mn(kg/mol),Mn/Mn0,Xc_aparente,Fase
208,88.78,0.4932,0.700,Fase2_Cristalina
209,88.47,0.4915,0.700,Fase2_Cristalina
210,88.16,0.4898,0.700,Fase2_Cristalina
211,87.85,0.4881,0.700,Fase2_Cristalina
212,87.54,0.4863,0.700,Fase2_Cristalina
213,87.23,0.4846,0.700,Fase2_Cristalina
214,86.93,0.4829,0.700,Fase2_Cristalina
215,86.62,0.4812,0.700,Fase2_Cristalina
216,86.31,0.4795,0.700,Fase2_Cristalina
217,86.01,0.4778,0.700,Fase2_Cristalina
218,85.70,0.4761,0.700,Fase2_Cristalina
219,85.40,0.4744,0.700,Fase2_Cristalina
220,85.10,0.4728,0.700,Fase2_Cristalina
221,84.79,0.4711,0.700,Fase2_Cristalina
222,84.49,0.4694,0.700,Fase2_Cristalina
223,84.19,0.4677,0.700,Fase2_Cristalina
224,83.89,0.4661,0.700,Fase2_Cristalina
225,83.59,0.4644,0.700,Fase2_Cristalina
226,83.29,0.4627,0.700,Fase2_Cristalina
227,82.99,0.4611,0.700,Fase2_Cristalina
228,82.70,0.4594,0.700,Fase2_Cristalina
229,82.40,0.4578,0.700,Fase2_Cristalina
230,82.10,0.4561,0.700,Fase2_Cristalina
231,81.81,0.4545,0.700,Fase2_Cristalina
232,81.51,0.4528,0.700,Fase2_Cristalina
233,81.22,0.4512,0.700,Fase2_Cristalina
234,80.93,0.4496,0.700,Fase2_Cristalina
235,80.63,0.4480,0.700,Fase2_Cristalina
236,80.34,0.4463,0.700,Fase2_Cristalina
237,80.05,0.4447,0.700,Fase2_Cristalina
238,79.76,0.4431,0.700,Fase2_Cristalina
239,79.47,0.4415,0.700,Fase2_Cristalina
240,79.18,0.4399,0.700,Fase2_Cristalina
241,78.89,0.4383,0.700,Fase2_Cristalina
242,78.61,0.4367,0.700,Fase2_Cristalina
243,78.32,0.4351,0.700,Fase2_Cristalina
244,78.03,0.4335,0.700,Fase2_Cristalina
245,77.75,0.4319,0.700,Fase2_Cristalina
246,77.46,0.4304,0.700,Fase2_Cristalina
247,77.18,0.4288,0.700,Fase2_Cristalina
248,76.90,0.4272,0.700,Fase2_Cristalina
249,76.61,0.4256,0.700,Fase2_Cristalina
250,76.33,0.4241,0.700,Fase2_Cristalina
251,76.05,0.4225,0.700,Fase2_Cristalina
252,75.77,0.4209,0.700,Fase2_Cristalina
253,75.49,0.4194,0.700,Fase2_Cristalina
254,75.21,0.4178,0.700,Fase2_Cristalina
255,74.93,0.4163,0.700,Fase2_Cristalina
256,74.66,0.4148,0.700,Fase2_Cristalina
257,74.38,0.4132,0.700,Fase2_Cristalina
258,74.11,0.4117,0.700,Fase2_Cristalina
259,73.83,0.4102,0.700,Fase2_Cristalina
260,73.56,0.4086,0.700,Fase2_Cristalina
261,73.28,0.4071,0.700,Fase2_Cristalina
262,73.01,0.4056,0.700,Fase2_Cristalina
263,72.74,0.4041,0.700,Fase2_Cristalina
264,72.47,0.4026,0.700,Fase2_Cristalina
265,72.19,0.4011,0.700,Fase2_Cristalina
266,71.92,0.3996,0.700,Fase2_Cristalina
267,71.66,0.3981,0.700,Fase2_Cristalina
268,71.39,0.3966,0.700,Fase2_Cristalina
269,71.12,0.3951,0.700,Fase2_Cristalina
270,70.85,0.3936,0.700,Fase2_Cristalina
271,70.59,0.3921,0.700,Fase2_Cristalina
272,70.32,0.3907,0.700,Fase2_Cristalina
273,70.06,0.3892,0.700,Fase2_Cristalina
274,69.79,0.3877,0.700,Fase2_Cristalina
275,69.53,0.3863,0.700,Fase2_Cristalina
276,69.27,0.3848,0.700,Fase2_Cristalina
277,69.00,0.3834,0.700,Fase2_Cristalina
278,68.74,0.3819,0.700,Fase2_Cristalina
279,68.48,0.3805,0.700,Fase2_Cristalina
280,68.22,0.3790,0.700,Fase2_Cristalina
281,67.96,0.3776,0.700,Fase2_Cristalina
282,67.70,0.3761,0.700,Fase2_Cristalina
283,67.45,0.3747,0.700,Fase2_Cristalina
284,67.19,0.3733,0.700,Fase2_Cristalina
285,66.93,0.3719,0.700,Fase2_Cristalina
286,66.68,0.3704,0.700,Fase2_Cristalina
287,66.42,0.3690,0.700,Fase2_Cristalina
288,66.17,0.3676,0.700,Fase2_Cristalina
289,65.92,0.3662,0.700,Fase2_Cristalina
290,65.66,0.3648,0.700,Fase2_Cristalina
291,65.41,0.3634,0.700,Fase2_Cristalina
292,65.16,0.3620,0.700,Fase2_Cristalina
293,64.91,0.3606,0.700,Fase2_Cristalina
294,64.66,0.3592,0.700,Fase2_Cristalina
295,64.41,0.3578,0.700,Fase2_Cristalina
296,64.16,0.3565,0.700,Fase2_Cristalina
297,63.92,0.3551,0.700,Fase2_Cristalina
298,63.67,0.3537,0.700,Fase2_Cristalina
299,63.42,0.3524,0.700,Fase2_Cristalina
300,63.18,0.3510,0.700,Fase2_Cristalina
301,62.93,0.3496,0.700,Fase2_Cristalina
302,62.69,0.3483,0.700,Fase2_Cristalina
303,62.45,0.3469,0.700,Fase2_Cristalina
304,62.21,0.3456,0.700,Fase2_Cristalina
305,61.96,0.3442,0.700,Fase2_Cristalina
306,61.72,0.3429,0.700,Fase2_Cristalina
307,61.48,0.3416,0.700,Fase2_Cristalina
308,61.24,0.3402,0.700,Fase2_Cristalina
309,61.00,0.3389,0.700,Fase2_Cristalina
310,60.77,0.3376,0.700,Fase2_Cristalina
311,60.53,0.3363,0.700,Fase2_Cristalina
312,60.29,0.3350,0.700,Fase2_Cristalina
313,60.06,0.3336,0.700,Fase2_Cristalina
314,59.82,0.3323,0.700,Fase2_Cristalina
315,59.59,0.3310,0.700,Fase2_Cristalina
316,59.35,0.3297,0.700,Fase2_Cristalina
317,59.12,0.3284,0.700,Fase2_Cristalina
318,58.89,0.3272,0.700,Fase2_Cristalina
319,58.66,0.3259,0.700,Fase2_Cristalina
320,58.43,0.3246,0.700,Fase2_Cristalina
321,58.20,0.3233,0.700,Fase2_Cristalina
322,57.97,0.3220,0.700,Fase2_Cristalina
323,57.74,0.3208,0.700,Fase2_Cristalina
324,57.51,0.3195,0.700,Fase2_Cristalina
325,57.28,0.3182,0.700,Fase2_Cristalina
326,57.05,0.3170,0.700,Fase2_Cristalina
327,56.83,0.3157,0.700,Fase2_Cristalina
328,56.60,0.3145,0.700,Fase2_Cristalina
329,56.38,0.3132,0.700,Fase2_Cristalina
330,56.16,0.3120,0.700,Fase2_Cristalina
331,55.93,0.3107,0.700,Fase2_Cristalina
332,55.71,0.3095,0.700,Fase2_Cristalina
333,55.49,0.3083,0.700,Fase2_Cristalina
334,55.27,0.3070,0.700,Fase2_Cristalina
335,55.05,0.3058,0.700,Fase2_Cristalina
336,54.83,0.3046,0.700,Fase2_Cristalina
337,54.61,0.3034,0.700,Fase2_Cristalina
338,54.39,0.3022,0.700,Fase2_Cristalina
339,54.17,0.3010,0.700,Fase2_Cristalina
340,53.96,0.2998,0.700,Fase2_Cristalina
341,53.74,0.2986,0.700,Fase2_Cristalina
342,53.52,0.2974,0.700,Fase2_Cristalina
343,53.31,0.2962,0.700,Fase2_Cristalina
344,53.10,0.2950,0.700,Fase2_Cristalina
345,52.88,0.2938,0.700,Fase2_Cristalina
346,52.67,0.2926,0.700,Fase2_Cristalina
